date,cash_rate,scrape_date
2023-12-01,4.33,2023-12-04
2024-01-01,4.33,2023-12-04
2024-02-01,4.39,2023-12-04
2024-03-01,4.39,2023-12-04
2024-04-01,4.4,2023-12-04
2024-05-01,4.4,2023-12-04
2024-06-01,4.39,2023-12-04
2024-07-01,4.36,2023-12-04
2024-08-01,4.33,2023-12-04
2024-09-01,4.31,2023-12-04
2024-10-01,4.27,2023-12-04
2024-11-01,4.22,2023-12-04
2024-12-01,4.17,2023-12-04
2025-01-01,4.15,2023-12-04
2025-02-01,4.11,2023-12-04
2025-03-01,4.07,2023-12-04
2025-04-01,4.03,2023-12-04
2025-05-01,3.99,2023-12-04
