date,cash_rate,scrape_date
2024-01-01,4.31,2024-01-12
2024-02-01,4.33,2024-01-12
2024-03-01,4.31,2024-01-12
2024-04-01,4.3,2024-01-12
2024-05-01,4.23,2024-01-12
2024-06-01,4.19,2024-01-12
2024-07-01,4.14,2024-01-12
2024-08-01,4.07,2024-01-12
2024-09-01,4.03,2024-01-12
2024-10-01,3.97,2024-01-12
2024-11-01,3.89,2024-01-12
2024-12-01,3.81,2024-01-12
2025-01-01,3.79,2024-01-12
2025-02-01,3.73,2024-01-12
2025-03-01,3.7,2024-01-12
2025-04-01,3.67,2024-01-12
2025-05-01,3.62,2024-01-12
2025-06-01,3.59,2024-01-12
