date,cash_rate,scrape_date
2024-05-01,4.32,2024-05-28
2024-06-01,4.32,2024-05-28
2024-07-01,4.31,2024-05-28
2024-08-01,4.34,2024-05-28
2024-09-01,4.33,2024-05-28
2024-10-01,4.34,2024-05-28
2024-11-01,4.31,2024-05-28
2024-12-01,4.28,2024-05-28
2025-01-01,4.27,2024-05-28
2025-02-01,4.25,2024-05-28
2025-03-01,4.21,2024-05-28
2025-04-01,4.16,2024-05-28
2025-05-01,4.13,2024-05-28
2025-06-01,4.09,2024-05-28
2025-07-01,4.06,2024-05-28
2025-08-01,4.01,2024-05-28
2025-09-01,3.98,2024-05-28
2025-10-01,3.96,2024-05-28
