date,cash_rate,scrape_date
2025-12-01,3.59,2025-12-18
2026-01-01,3.59,2025-12-18
2026-02-01,3.66,2025-12-18
2026-03-01,3.69,2025-12-18
2026-04-01,3.69,2025-12-18
2026-05-01,3.78,2025-12-18
2026-06-01,3.8,2025-12-18
2026-07-01,3.81,2025-12-18
2026-08-01,3.86,2025-12-18
2026-09-01,3.89,2025-12-18
2026-10-01,3.91,2025-12-18
2026-11-01,3.94,2025-12-18
2026-12-01,3.95,2025-12-18
2027-01-01,3.96,2025-12-18
2027-02-01,3.97,2025-12-18
2027-03-01,3.97,2025-12-18
2027-04-01,3.97,2025-12-18
2027-05-01,3.98,2025-12-18
