date,cash_rate,scrape_date
2026-05-01,4.31,2026-05-12
2026-06-01,4.37,2026-05-12
2026-07-01,4.4,2026-05-12
2026-08-01,4.5,2026-05-12
2026-09-01,4.56,2026-05-12
2026-10-01,4.64,2026-05-12
2026-11-01,4.71,2026-05-12
2026-12-01,4.73,2026-05-12
2027-01-01,4.73,2026-05-12
2027-02-01,4.73,2026-05-12
2027-03-01,4.73,2026-05-12
2027-04-01,4.72,2026-05-12
2027-05-01,4.71,2026-05-12
2027-06-01,4.7,2026-05-12
2027-07-01,4.68,2026-05-12
2027-08-01,4.66,2026-05-12
2027-09-01,4.64,2026-05-12
2027-10-01,4.63,2026-05-12
