date,cash_rate,scrape_date
2024-09-01,4.33,2024-09-12
2024-10-01,4.33,2024-09-12
2024-11-01,4.28,2024-09-12
2024-12-01,4.19,2024-09-12
2025-01-01,4.16,2024-09-12
2025-02-01,4.08,2024-09-12
2025-03-01,3.94,2024-09-12
2025-04-01,3.73,2024-09-12
2025-05-01,3.65,2024-09-12
2025-06-01,3.5,2024-09-12
2025-07-01,3.44,2024-09-12
2025-08-01,3.36,2024-09-12
2025-09-01,3.33,2024-09-12
2025-10-01,3.27,2024-09-12
2025-11-01,3.22,2024-09-12
2025-12-01,3.19,2024-09-12
2026-01-01,3.18,2024-09-12
2026-02-01,3.14,2024-09-12
