date,cash_rate,scrape_date
2024-07-01,4.33,2024-07-18
2024-08-01,4.39,2024-07-18
2024-09-01,4.4,2024-07-18
2024-10-01,4.41,2024-07-18
2024-11-01,4.41,2024-07-18
2024-12-01,4.38,2024-07-18
2025-01-01,4.36,2024-07-18
2025-02-01,4.33,2024-07-18
2025-03-01,4.28,2024-07-18
2025-04-01,4.2,2024-07-18
2025-05-01,4.17,2024-07-18
2025-06-01,4.12,2024-07-18
2025-07-01,4.06,2024-07-18
2025-08-01,4.0,2024-07-18
2025-09-01,3.97,2024-07-18
2025-10-01,3.92,2024-07-18
2025-11-01,3.88,2024-07-18
2025-12-01,3.83,2024-07-18
