date,cash_rate,scrape_date
2026-09-01,4.36,2026-09-17
2026-10-01,4.56,2026-09-17
2026-11-01,4.67,2026-09-17
2026-12-01,4.71,2026-09-17
2027-01-01,4.72,2026-09-17
2027-02-01,4.8,2026-09-17
2027-03-01,4.86,2026-09-17
2027-04-01,4.89,2026-09-17
2027-05-01,4.94,2026-09-17
2027-06-01,4.95,2026-09-17
2027-07-01,4.97,2026-09-17
2027-08-01,4.97,2026-09-17
2027-09-01,4.97,2026-09-17
2027-10-01,4.97,2026-09-17
2027-11-01,4.94,2026-09-17
2027-12-01,4.92,2026-09-17
2028-01-01,4.91,2026-09-17
2028-02-01,4.87,2026-09-17
