date,cash_rate,scrape_date
2024-01-01,4.31,2023-12-29
2024-02-01,4.33,2023-12-29
2024-03-01,4.31,2023-12-29
2024-04-01,4.27,2023-12-29
2024-05-01,4.17,2023-12-29
2024-06-01,4.09,2023-12-29
2024-07-01,4.02,2023-12-29
2024-08-01,3.93,2023-12-29
2024-09-01,3.89,2023-12-29
2024-10-01,3.82,2023-12-29
2024-11-01,3.75,2023-12-29
2024-12-01,3.69,2023-12-29
2025-01-01,3.67,2023-12-29
2025-02-01,3.61,2023-12-29
2025-03-01,3.58,2023-12-29
2025-04-01,3.55,2023-12-29
2025-05-01,3.5,2023-12-29
2025-06-01,100,1999-12-30
