date,cash_rate,scrape_date
2026-06-01,4.35,2026-06-15
2026-07-01,4.35,2026-06-15
2026-08-01,4.4,2026-06-15
2026-09-01,4.42,2026-06-15
2026-10-01,4.43,2026-06-15
2026-11-01,4.47,2026-06-15
2026-12-01,4.48,2026-06-15
2027-01-01,4.48,2026-06-15
2027-02-01,4.49,2026-06-15
2027-03-01,4.48,2026-06-15
2027-04-01,4.47,2026-06-15
2027-05-01,4.44,2026-06-15
2027-06-01,4.44,2026-06-15
2027-07-01,4.41,2026-06-15
2027-08-01,4.38,2026-06-15
2027-09-01,4.36,2026-06-15
2027-10-01,4.33,2026-06-15
2027-11-01,4.31,2026-06-15
