date,cash_rate,scrape_date
2023-08-01,4.06,2023-08-31
2023-09-01,4.07,2023-08-31
2023-10-01,4.09,2023-08-31
2023-11-01,4.13,2023-08-31
2023-12-01,4.15,2023-08-31
2024-01-01,4.15,2023-08-31
2024-02-01,4.16,2023-08-31
2024-03-01,4.16,2023-08-31
2024-04-01,4.15,2023-08-31
2024-05-01,4.14,2023-08-31
2024-06-01,4.12,2023-08-31
2024-07-01,4.1,2023-08-31
2024-08-01,4.06,2023-08-31
2024-09-01,4.03,2023-08-31
2024-10-01,3.98,2023-08-31
2024-11-01,3.94,2023-08-31
2024-12-01,3.89,2023-08-31
2025-01-01,3.86,2023-08-31
