date,cash_rate,scrape_date
2025-01-01,4.33,2025-01-28
2025-02-01,4.27,2025-01-28
2025-03-01,4.14,2025-01-28
2025-04-01,4.04,2025-01-28
2025-05-01,3.97,2025-01-28
2025-06-01,3.84,2025-01-28
2025-07-01,3.79,2025-01-28
2025-08-01,3.7,2025-01-28
2025-09-01,3.66,2025-01-28
2025-10-01,3.62,2025-01-28
2025-11-01,3.58,2025-01-28
2025-12-01,3.56,2025-01-28
2026-01-01,3.55,2025-01-28
2026-02-01,3.53,2025-01-28
2026-03-01,3.53,2025-01-28
2026-04-01,3.53,2025-01-28
2026-05-01,3.53,2025-01-28
2026-06-01,3.53,2025-01-28
