date,cash_rate,scrape_date
2023-12-01,4.31,2023-12-08
2024-01-01,4.31,2023-12-08
2024-02-01,4.33,2023-12-08
2024-03-01,4.33,2023-12-08
2024-04-01,4.31,2023-12-08
2024-05-01,4.27,2023-12-08
2024-06-01,4.25,2023-12-08
2024-07-01,4.2,2023-12-08
2024-08-01,4.16,2023-12-08
2024-09-01,4.14,2023-12-08
2024-10-01,4.09,2023-12-08
2024-11-01,4.05,2023-12-08
2024-12-01,4,2023-12-08
2025-01-01,3.98,2023-12-08
2025-02-01,3.94,2023-12-08
2025-03-01,3.91,2023-12-08
2025-04-01,3.88,2023-12-08
2025-05-01,3.85,2023-12-08
