date,cash_rate,scrape_date
2024-08-01,4.33,2024-08-28
2024-09-01,4.33,2024-08-28
2024-10-01,4.31,2024-08-28
2024-11-01,4.26,2024-08-28
2024-12-01,4.15,2024-08-28
2025-01-01,4.11,2024-08-28
2025-02-01,4.06,2024-08-28
2025-03-01,3.94,2024-08-28
2025-04-01,3.77,2024-08-28
2025-05-01,3.69,2024-08-28
2025-06-01,3.58,2024-08-28
2025-07-01,3.53,2024-08-28
2025-08-01,3.47,2024-08-28
2025-09-01,3.44,2024-08-28
2025-10-01,3.39,2024-08-28
2025-11-01,3.35,2024-08-28
2025-12-01,3.31,2024-08-28
2026-01-01,3.3,2024-08-28
