date,cash_rate,scrape_date
2024-02-01,4.31,2024-02-09
2024-03-01,4.31,2024-02-09
2024-04-01,4.3,2024-02-09
2024-05-01,4.25,2024-02-09
2024-06-01,4.23,2024-02-09
2024-07-01,4.2,2024-02-09
2024-08-01,4.14,2024-02-09
2024-09-01,4.1,2024-02-09
2024-10-01,4.02,2024-02-09
2024-11-01,3.94,2024-02-09
2024-12-01,3.88,2024-02-09
2025-01-01,3.85,2024-02-09
2025-02-01,3.79,2024-02-09
2025-03-01,3.75,2024-02-09
2025-04-01,3.72,2024-02-09
2025-05-01,3.69,2024-02-09
2025-06-01,3.65,2024-02-09
2025-07-01,3.62,2024-02-09
