date,cash_rate,scrape_date
2025-10-01,3.59,2025-10-09
2025-11-01,3.51,2025-10-09
2025-12-01,3.47,2025-10-09
2026-01-01,3.47,2025-10-09
2026-02-01,3.39,2025-10-09
2026-03-01,3.39,2025-10-09
2026-04-01,3.36,2025-10-09
2026-05-01,3.31,2025-10-09
2026-06-01,3.31,2025-10-09
2026-07-01,3.3,2025-10-09
2026-08-01,3.3,2025-10-09
2026-09-01,3.3,2025-10-09
2026-10-01,3.31,2025-10-09
2026-11-01,3.31,2025-10-09
2026-12-01,3.31,2025-10-09
2027-01-01,3.32,2025-10-09
2027-02-01,3.33,2025-10-09
2027-03-01,3.34,2025-10-09
