date,cash_rate,scrape_date
2025-07-01,3.83,2025-07-30
2025-08-01,3.68,2025-07-30
2025-09-01,3.58,2025-07-30
2025-10-01,3.48,2025-07-30
2025-11-01,3.31,2025-07-30
2025-12-01,3.22,2025-07-30
2026-01-01,3.19,2025-07-30
2026-02-01,3.07,2025-07-30
2026-03-01,3.06,2025-07-30
2026-04-01,3.05,2025-07-30
2026-05-01,3.02,2025-07-30
2026-06-01,3.02,2025-07-30
2026-07-01,3.02,2025-07-30
2026-08-01,3.02,2025-07-30
2026-09-01,3.02,2025-07-30
2026-10-01,3.03,2025-07-30
2026-11-01,3.03,2025-07-30
2026-12-01,3.04,2025-07-30
