date,cash_rate,scrape_date
2024-04-01,4.31,2024-04-12
2024-05-01,4.31,2024-04-12
2024-06-01,4.3,2024-04-12
2024-07-01,4.29,2024-04-12
2024-08-01,4.26,2024-04-12
2024-09-01,4.25,2024-04-12
2024-10-01,4.23,2024-04-12
2024-11-01,4.17,2024-04-12
2024-12-01,4.13,2024-04-12
2025-01-01,4.11,2024-04-12
2025-02-01,4.06,2024-04-12
2025-03-01,4.04,2024-04-12
2025-04-01,4.01,2024-04-12
2025-05-01,3.97,2024-04-12
2025-06-01,3.95,2024-04-12
2025-07-01,3.92,2024-04-12
2025-08-01,3.89,2024-04-12
2025-09-01,3.88,2024-04-12
