date,cash_rate,scrape_date
2024-06-01,4.31,2024-06-14
2024-07-01,4.31,2024-06-14
2024-08-01,4.32,2024-06-14
2024-09-01,4.31,2024-06-14
2024-10-01,4.3,2024-06-14
2024-11-01,4.25,2024-06-14
2024-12-01,4.2,2024-06-14
2025-01-01,4.17,2024-06-14
2025-02-01,4.16,2024-06-14
2025-03-01,4.1,2024-06-14
2025-04-01,4.03,2024-06-14
2025-05-01,4,2024-06-14
2025-06-01,3.97,2024-06-14
2025-07-01,3.93,2024-06-14
2025-08-01,3.89,2024-06-14
2025-09-01,3.86,2024-06-14
2025-10-01,3.82,2024-06-14
2025-11-01,3.78,2024-06-14
