date,cash_rate,scrape_date
2025-07-01,3.66,2025-07-02
2025-08-01,3.47,2025-07-02
2025-09-01,3.39,2025-07-02
2025-10-01,3.28,2025-07-02
2025-11-01,3.12,2025-07-02
2025-12-01,3.05,2025-07-02
2026-01-01,3.03,2025-07-02
2026-02-01,2.94,2025-07-02
2026-03-01,2.92,2025-07-02
2026-04-01,2.91,2025-07-02
2026-05-01,2.89,2025-07-02
2026-06-01,2.89,2025-07-02
2026-07-01,2.88,2025-07-02
2026-08-01,2.88,2025-07-02
2026-09-01,2.89,2025-07-02
2026-10-01,2.91,2025-07-02
2026-11-01,2.92,2025-07-02
2026-12-01,2.93,2025-07-02
