date,cash_rate,scrape_date
2025-08-01,3.69,2025-08-18
2025-09-01,3.58,2025-08-18
2025-10-01,3.51,2025-08-18
2025-11-01,3.33,2025-08-18
2025-12-01,3.25,2025-08-18
2026-01-01,3.22,2025-08-18
2026-02-01,3.1,2025-08-18
2026-03-01,3.08,2025-08-18
2026-04-01,3.06,2025-08-18
2026-05-01,3.02,2025-08-18
2026-06-01,3.0,2025-08-18
2026-07-01,3.0,2025-08-18
2026-08-01,3.0,2025-08-18
2026-09-01,3.0,2025-08-18
2026-10-01,3.0,2025-08-18
2026-11-01,3.0,2025-08-18
2026-12-01,3.01,2025-08-18
2027-01-01,3.02,2025-08-18
