date,cash_rate,scrape_date
2025-01-01,4.33,2025-01-24
2025-02-01,4.27,2025-01-24
2025-03-01,4.14,2025-01-24
2025-04-01,4.05,2025-01-24
2025-05-01,3.99,2025-01-24
2025-06-01,3.88,2025-01-24
2025-07-01,3.83,2025-01-24
2025-08-01,3.75,2025-01-24
2025-09-01,3.71,2025-01-24
2025-10-01,3.67,2025-01-24
2025-11-01,3.64,2025-01-24
2025-12-01,3.61,2025-01-24
2026-01-01,3.61,2025-01-24
2026-02-01,3.59,2025-01-24
2026-03-01,3.58,2025-01-24
2026-04-01,3.58,2025-01-24
2026-05-01,3.58,2025-01-24
2026-06-01,3.59,2025-01-24
