date,cash_rate,scrape_date
2025-03-01,4.08,2025-03-31
2025-04-01,4.06,2025-03-31
2025-05-01,4.0,2025-03-31
2025-06-01,3.88,2025-03-31
2025-07-01,3.82,2025-03-31
2025-08-01,3.69,2025-03-31
2025-09-01,3.62,2025-03-31
2025-10-01,3.53,2025-03-31
2025-11-01,3.42,2025-03-31
2025-12-01,3.39,2025-03-31
2026-01-01,3.39,2025-03-31
2026-02-01,3.35,2025-03-31
2026-03-01,3.33,2025-03-31
2026-04-01,3.32,2025-03-31
2026-05-01,3.31,2025-03-31
2026-06-01,3.31,2025-03-31
2026-07-01,3.31,2025-03-31
2026-08-01,3.31,2025-03-31
