date,cash_rate,scrape_date
2025-07-01,3.83,2025-07-16
2025-08-01,3.7,2025-07-16
2025-09-01,3.61,2025-07-16
2025-10-01,3.54,2025-07-16
2025-11-01,3.38,2025-07-16
2025-12-01,3.31,2025-07-16
2026-01-01,3.28,2025-07-16
2026-02-01,3.19,2025-07-16
2026-03-01,3.17,2025-07-16
2026-04-01,3.16,2025-07-16
2026-05-01,3.14,2025-07-16
2026-06-01,3.14,2025-07-16
2026-07-01,3.13,2025-07-16
2026-08-01,3.14,2025-07-16
2026-09-01,3.14,2025-07-16
2026-10-01,3.14,2025-07-16
2026-11-01,3.16,2025-07-16
2026-12-01,3.16,2025-07-16
