date,cash_rate,scrape_date
2025-06-01,3.83,2025-06-24
2025-07-01,3.67,2025-06-24
2025-08-01,3.5,2025-06-24
2025-09-01,3.42,2025-06-24
2025-10-01,3.32,2025-06-24
2025-11-01,3.16,2025-06-24
2025-12-01,3.08,2025-06-24
2026-01-01,3.06,2025-06-24
2026-02-01,2.98,2025-06-24
2026-03-01,2.95,2025-06-24
2026-04-01,2.94,2025-06-24
2026-05-01,2.92,2025-06-24
2026-06-01,2.91,2025-06-24
2026-07-01,2.9,2025-06-24
2026-08-01,2.9,2025-06-24
2026-09-01,2.9,2025-06-24
2026-10-01,2.91,2025-06-24
2026-11-01,2.92,2025-06-24
