date,cash_rate,scrape_date
2024-04-01,4.31,2024-04-16
2024-05-01,4.31,2024-04-16
2024-06-01,4.29,2024-04-16
2024-07-01,4.28,2024-04-16
2024-08-01,4.25,2024-04-16
2024-09-01,4.24,2024-04-16
2024-10-01,4.22,2024-04-16
2024-11-01,4.17,2024-04-16
2024-12-01,4.14,2024-04-16
2025-01-01,4.12,2024-04-16
2025-02-01,4.08,2024-04-16
2025-03-01,4.06,2024-04-16
2025-04-01,4.03,2024-04-16
2025-05-01,3.98,2024-04-16
2025-06-01,3.96,2024-04-16
2025-07-01,3.94,2024-04-16
2025-08-01,3.91,2024-04-16
2025-09-01,3.89,2024-04-16
