date,cash_rate,scrape_date
2026-03-01,3.96,2026-03-26
2026-04-01,4.09,2026-03-26
2026-05-01,4.25,2026-03-26
2026-06-01,4.32,2026-03-26
2026-07-01,4.38,2026-03-26
2026-08-01,4.48,2026-03-26
2026-09-01,4.56,2026-03-26
2026-10-01,4.68,2026-03-26
2026-11-01,4.76,2026-03-26
2026-12-01,4.77,2026-03-26
2027-01-01,4.77,2026-03-26
2027-02-01,4.76,2026-03-26
2027-03-01,4.75,2026-03-26
2027-04-01,4.75,2026-03-26
2027-05-01,4.72,2026-03-26
2027-06-01,4.72,2026-03-26
2027-07-01,4.69,2026-03-26
2027-08-01,4.67,2026-03-26
