date,cash_rate,scrape_date
2024-05-01,4.32,2024-05-31
2024-06-01,4.31,2024-05-31
2024-07-01,4.31,2024-05-31
2024-08-01,4.34,2024-05-31
2024-09-01,4.36,2024-05-31
2024-10-01,4.36,2024-05-31
2024-11-01,4.36,2024-05-31
2024-12-01,4.34,2024-05-31
2025-01-01,4.33,2024-05-31
2025-02-01,4.31,2024-05-31
2025-03-01,4.28,2024-05-31
2025-04-01,4.23,2024-05-31
2025-05-01,4.22,2024-05-31
2025-06-01,4.18,2024-05-31
2025-07-01,4.15,2024-05-31
2025-08-01,4.11,2024-05-31
2025-09-01,4.09,2024-05-31
2025-10-01,4.07,2024-05-31
