date,cash_rate,scrape_date
2025-04-01,4.08,2025-04-11
2025-05-01,3.95,2025-04-11
2025-06-01,3.72,2025-04-11
2025-07-01,3.52,2025-04-11
2025-08-01,3.28,2025-04-11
2025-09-01,3.15,2025-04-11
2025-10-01,3.0,2025-04-11
2025-11-01,2.87,2025-04-11
2025-12-01,2.84,2025-04-11
2026-01-01,2.84,2025-04-11
2026-02-01,2.82,2025-04-11
2026-03-01,2.81,2025-04-11
2026-04-01,2.8,2025-04-11
2026-05-01,2.81,2025-04-11
2026-06-01,2.81,2025-04-11
2026-07-01,2.83,2025-04-11
2026-08-01,2.84,2025-04-11
2026-09-01,2.86,2025-04-11
