date,cash_rate,scrape_date
2024-01-01,4.31,2024-01-17
2024-02-01,4.33,2024-01-17
2024-03-01,4.31,2024-01-17
2024-04-01,4.31,2024-01-17
2024-05-01,4.27,2024-01-17
2024-06-01,4.25,2024-01-17
2024-07-01,4.22,2024-01-17
2024-08-01,4.16,2024-01-17
2024-09-01,4.12,2024-01-17
2024-10-01,4.06,2024-01-17
2024-11-01,3.97,2024-01-17
2024-12-01,3.91,2024-01-17
2025-01-01,3.89,2024-01-17
2025-02-01,3.83,2024-01-17
2025-03-01,3.8,2024-01-17
2025-04-01,3.75,2024-01-17
2025-05-01,3.72,2024-01-17
2025-06-01,3.69,2024-01-17
